sr_no,brand,stage,category,ch_pillar,sub_category,products,website,source,financial_signal,filter_profitable,filter_bootstrapped,filter_founder_led,filter_independent,revenue_fy_inr_cr,pat_or_margin,promoter_name,promoter_contact,valuation_note,priority,owner,next_action,last_update,rejection_reason,comments
100,NuHome Furnishings,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Rugs & Carpets,"Bedsheets, curtains, rugs, cushions, home linen, furnishing accessories",https://www.sumangal.com/,Collated Sheet,,,,,,,,,,,,,,,,"Brand has got good potential, the products are aesthetic and modern. Coming age would totally go for this."
101,Nur Home,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, quilts, pillow covers, curtains, blankets",https://nurhome.in/,Collated Sheet,,,,,,,,,,,,,,,,Owns stores and franchisees. Also exports.
102,Rallison Appliances,Rejected-Promoter,Home Appliances,Small Appliances,Kitchen Chimneys & Hobs,"Mixer grinders, induction cooktops, electric kettles, gas stoves, chimneys",https://rallisonappliances.com/,Collated Sheet,,,,,,,,,,,,,,,Not looking to sell,Good website & kitchenware & kitchen appliances. Founder not interested
103,Obsessions,Rejected-Promoter,Soft Furnishings & Home Decor,Soft Furnishings,Rugs & Carpets,"Rugs, carpets, runners, doormats, floor coverings",https://www.envogueindia.com/,Collated Sheet,,,,,,,,,,,,,,,Valuation,"open loans currently totalling to 24.63CR, they're importers and not manufacturers, importing from countries like - Turkey, Egypt, Belgium. Founder not interested"
104,Ocean Glassware,Screened-Out,Cookware & Kitchenware,Kitchen,Drinkware,"Drinking glasses, glass bowls, plates, mugs, serving ware, glassware",-,Collated Sheet,,,,,,,,,,,,,,,,(MNC– thailand)
105,OGGN,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, blankets, pillow covers, home linen",-,Collated Sheet,,,,,,,,,,,,,,,,The products are decent. However the employee count is quite low
106,Oliveware,Rejected-Promoter,Home Storage & Organization,Kitchen,Kitchen Storage,"Food storage containers, lunch boxes, water bottles, insulated flasks, kitchen storage",https://www.oliveware.com/,Collated Sheet,,,,,,,,,,,,,,,Not interested in the model,Website is good. Founder not interested
107,Omega Appliances,Screened-Out,Home Appliances,Small Appliances,Kitchen Chimneys & Hobs,"Mixer grinders, induction cooktops, electric kettles, chimneys, gas stoves",https://r.search.yahoo.com/_ylt=AwrKAm_8_y9oJwIAZxu7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Ny/RV=2/RE=1749185789/RO=10/RU=https%3a%2f%2fwww.omegaappliances.com%2f/RK=2/RS=IKFiQouG8LTbHv6wOKesx18DjVw-,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company isn't profitable
108,Omen,Screened-Out,Home Appliances,Small Appliances,Air Cooling & Treatment,"Air coolers, fans, room heaters, electrical home appliances",https://omenelectric.com/,Collated Sheet,,,,,,,,,,,,,,,,Company offers products across multiple categories
109,OmSakthi-A-Overseas,Screened-Out,Cookware & Kitchenware,Kitchen,Serveware & Tableware,"Stainless steel utensils, cookware, serving ware, kitchen accessories",https://www.osoverseas.com/,Collated Sheet,,,,,,,,,,,,,,,,
110,Opalware by Cello,Screened-Out,Cookware & Kitchenware,Kitchen,Drinkware,"Opal glass dinner sets, plates, bowls, serving dishes, mugs",-,Collated Sheet,,,,,,,,,,,,,,,,It is a brand under Cello
111,Orange,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Home Fragrance,"Wall décor, mirrors, decorative accents, candle holders, home accessories",https://www.orangecookware.com/,Collated Sheet,,,,,,,,,,,,,,,,Products are decent
112,Oriental Foamers,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Mattresses & Bedding,"Foam mattresses, pillows, mattress toppers, cushions, bedding accessories",https://www.orientalfoam.com/about.php,Collated Sheet,,,,,,,,,,,,,,,,
113,Osaka Furnishing,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Curtains & Window Furnishings,"Curtains, upholstery fabrics, sofa fabrics, blinds, furnishing textiles",https://osakafurnishings.in/,Collated Sheet,,,,,,,,,,,,,,,,"4 stores across Mumbai and Gujarat. Manufaturer of curtain,bedsheets"
114,Ozen Home Appliances,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, induction cooktops, electric kettles, gas stoves, kitchen appliances",https://ozenhomeappliances.com/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the website and products are quite basic
115,P G INDUSTRIES,Screened-Out,Cookware & Kitchenware,Kitchen,Serveware & Tableware,"Stainless steel utensils, cookware, serving ware, storage containers",https://www.copperika.in/?fbclid=PAZXh0bgNhZW0CMTEAAaeWw9e-yUxVUBHrDbGU12qufNMDKj3W1n7Tw6KhtVgMJX3EAztHijI5IWk6DA_aem_WOQNbGhV1ERtdVi64qdUfA,Collated Sheet,,,,,,,,,,,,,,,,Good website
116,P-Tal,Screened-Out,Cookware & Kitchenware,Kitchen,Serveware & Tableware,"Brass cookware, kansa (bell metal) utensils, copperware, serveware, tableware",https://ptal.in/,Collated Sheet,,,,,,,,,,,,,,,,Premium quality poducts with huge variety . relevant (already funded by namita thapar in shark tank)
117,Padmini Appliances,Reached-NoResponse,Home Appliances,Small Appliances,Kitchen Chimneys & Hobs,"Kitchen chimneys, gas stoves, cooktops, induction cooktops, kitchen appliances",https://www.padminiappliances.com/?srsltid=AfmBOopCLPq_SqoIDUCrfDMWs70w7uuqnRplSnxrgGdnsElKb9uaKxeX,Collated Sheet,,,,,,,,,,,,,,,,Products and website are quite good. The company offers both kitchen and home appliances. Founder not interested
118,RustikCraft,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Furniture,"Wooden décor, wall décor, decorative accents, handcrafted accessories, gifting products",https://www.rustikcraft.com/,Collated Sheet,,,,,,,,,,,,,,,,Not able to access the website
119,Pardewale,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Curtains & Window Furnishings,"Curtains, roller blinds, zebra blinds, Roman blinds, window furnishings",https://pardewale.in/,Collated Sheet,,,,,,,,,,,,,,,,0-40 L
120,Pasabahce,Screened-Out,Cookware & Kitchenware,Kitchen,Drinkware,"Glass tumblers, drinkware, bowls, plates, serving ware, glass storage",-,Collated Sheet,,,,,,,,,,,,,,,,(MNC– turkish brand)
121,Patterns Furnishing,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Curtains & Window Furnishings,"Curtain fabrics, upholstery fabrics, sofa fabrics, furnishing textiles",https://patternsfurnishing.com/,Collated Sheet,"Patterns stands out for its end-to-end turnkey delivery—from in-house production to installation—with a promise of timely, quality execution",,,,,,,,,,,,,,,"Patterns stands out for its end-to-end turnkey delivery—from in-house production to installation—with a promise of timely, quality execution. Their newer T Nagar showroom launched smart blinds tied to Alexa, meeting premium tech-savvy demands. To grow further, they can replicate this success into other metros and strengthen brand coherence and digital leadership."
122,PDD Falcon,Rejected-Promoter,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, kitchen utensils, serving ware, storage containers",https://pddfalcon.com/,Collated Sheet,,,,,,,,,,,,,,,Not interested in the model,"Website is decent, known for stainless steel kitchenware products. Founder not interested"
123,Pesca,Screened-Out,Cookware & Kitchenware,Kitchen,Non-stick Cookware,"Stainless steel cookware, non-stick cookware, fry pans, kadai, cookware sets",-,Collated Sheet,,,,,,,,,,,,,,,,Website not available. Products listed on amazon are quite basic. Scale and employee count not available
124,Petals,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Artificial flowers, floral arrangements, decorative plants, vases, home décor",-,Collated Sheet,,,,,,,,,,,,,,,,Website not available. Products listed on amazon are quite basic. Scale and employee count not available
125,Picfest,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Decorative Lighting,"Decorative lights, festive decorations, pooja décor, gifting products, home accents",-,Collated Sheet,,,,,,,,,,,,,,,,Website not available. products listed on amazon are quite basic. Scale and employee count not available
126,Pigeon By Stovekraft,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, induction cooktops, pressure cookers, gas stoves, cookware, air fryers",-,Collated Sheet,,,,,,,,,,,,,,,,Skip - since listed
127,Plumm,Screened-Out,Cookware & Kitchenware,Kitchen,Drinkware,"Wine glasses, champagne flutes, whisky glasses, bar accessories, drinkware",https://getplumm.com/,Collated Sheet,,,,,,,,,,,,,,,,Products are decent
128,Polly Cool Appliances,Screened-Out,Home Appliances,Small Appliances,Air Cooling & Treatment,"Air coolers, portable coolers, cooling appliances",https://pollycoolindia.com/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company has low scale
129,Polyset,Screened-Out,Home Storage & Organization,Kitchen,Kitchen Storage,"Food storage containers, kitchen organizers, plastic household products, utility containers",https://polyset.net/#,Collated Sheet,,,,,,,,,,,,,,,,Website is good
130,Porus Equipment,Screened-Out,Home Storage & Organization,Decor & Home Improvement,Racks & Shelves,"Stainless steel kitchen equipment, work tables, storage racks, commercial kitchen systems",https://www.universalhunt.com/company/porus-equipments-pvt-ltd,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company has a low scale
131,Power Guard,Screened-Out,Home Appliances,Small Appliances,Home Appliances,"Voltage stabilizers, UPS systems, electrical protection devices, power solutions",https://powerguardonline.com/collections/kitchen-appliances?srsltid=AfmBOoqeX-YHrVAJ0t3YidM_lmH4ncShcJsUX0NZG6Ukes_iDiPhTaCC,Collated Sheet,,,,,,,,,,,,,,,,Website and products are decent. The company offers both kitchen and home appliances including large appliances
132,Praahi,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wall décor, mirrors, decorative accents, tabletop décor, home accessories",https://praahilifestyle.in/?srsltid=AfmBOor9C0PdfQOpqlXiCjuPEUXg_aEhZzw1JMKIF2BCIpukrw3cBXJE,Collated Sheet,,,,,,,,,,,,,,,,Website and the products are decent. The comapny has a wide range of product category including Home Decor
133,Premier,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, wet grinders, gas stoves, pressure cookers, induction cooktops",Buy High Quality Cookware Online At Best Price - Premier Kitchen,Collated Sheet,,,,,,,,,,,,,,,,Website and scale is decent
134,Premium,Screened-Out,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, kitchen utensils, serving ware, storage containers",-,Collated Sheet,,,,,,,,,,,,,,,,Website not available.
135,Princeware,Screened-Out,Home Storage & Organization,Kitchen,Kitchen Storage,"Food storage containers, lunch boxes, kitchen organizers, household plasticware",-,Collated Sheet,,,,,,,,,,,,,,,,Skipped due to being largely b2b
136,Primy Sales Corporation,Screened-Out,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, utensils, serving ware, kitchen accessories",https://www.primysales.com/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the products are quite basic
137,PRO365,Screened-Out,Home Appliances,Small Appliances,Cleaning Appliances,"Vacuum cleaners, steam cleaners, cleaning accessories, home cleaning equipment",-,Collated Sheet,,,,,,,,,,,,,,,,Website not available. products listed on amazon are not relevant
138,Pureflames Appliance,Rejected-Promoter,Home Appliances,Small Appliances,Kitchen Chimneys & Hobs,"Gas stoves, kitchen chimneys, induction cooktops, cooktops, kitchen appliances",https://pureflames.co.in/,Collated Sheet,,,,,,,,,,,,,,,Not interested in the model,Website and the products are quite good. The company offers a wide range of kitchen appliances. Founder not interested
139,Q3 Design,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Furniture,"Wall décor, decorative accessories, mirrors, furniture accents, interior décor",https://q3designs.in/,Collated Sheet,,,,,,,,,,,,,,,,
140,QIPS,Screened-Out,Home Appliances,Small Appliances,Water Purifiers,"RO water purifiers, UV purifiers, water filtration systems, purifier accessories",-,Collated Sheet,,,,,,,,,,,,,,,,"Not relevant to our product category, no website and social media handle"
141,R R Decor,Reached-NoResponse,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wall décor, mirrors, decorative accents, sculptures, tabletop décor",https://www.rrdecor.com/index.php,Collated Sheet,,,,,,,,,,,,,,,,
142,Rabitat,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Furniture,"Kids furniture, beds, wardrobes, study tables, storage furniture",-,Collated Sheet,,,,,,,,,,,,,,,,Only dealing in kids' bottles and accessories so not relevant
143,Raffles,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, quilts, pillow covers, curtains, home linen",https://www.amazon.in/Kitchen-Dining-Raffles-Home/s?rh=n%3A5925789031%2Cp_89%3ARaffles,Collated Sheet,,,,,,,,,,,,,,,,"Didn't find much info. for this brand;
Website was also not avaialble;"
144,Raftaar Home Appliances,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, induction cooktops, electric kettles, gas stoves, kitchen appliances",https://www.raftaarcompany.com/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company has a low scale
145,Ratan Brooms,Screened-Out,General Merchandise,Other,Cleaning Products,"Brooms, floor brushes, cleaning brushes, household cleaning tools",-,Collated Sheet,,,,,,,,,,,,,,,,Not relevant to our product category (cleaning tools)
146,RATAN PLASTICWARE,Screened-Out,Home Storage & Organization,Kitchen,Kitchen Storage,"Food storage containers, buckets, tubs, kitchen organizers, household plasticware",-,Collated Sheet,The annual turnover of the company is inr 40l - 1,,,,,,,,,,,,,,,The products are basic. The annual turnover of the company is inr 40l - 1.5cr
147,Raunak Kitchen Equipments,Screened-Out,Home Storage & Organization,Decor & Home Improvement,Racks & Shelves,"Stainless steel kitchen equipment, work tables, sinks, storage racks, kitchen systems",https://www.raunakkitchen.com/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company manufactures commercial appliances
148,Ravi Fans,Screened-Out,Home Appliances,Small Appliances,Air Cooling & Treatment,"Ceiling fans, wall fans, exhaust fans, pedestal fans",https://www.ravifans.com/About/Index,Collated Sheet,,,,,,,,,,,,,,,,Products are decent. The company offers multiple categories of Fans
149,RD trend,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wall décor, decorative accents, mirrors, vases, home accessories",https://rdtrend.in/,Collated Sheet,,,,,,,,,,,,,,,,
150,Redskin Home Décor,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Decorative items, wall décor, sculptures, planters, tabletop décor",https://www.redskin.asia/,Collated Sheet,,,,,,,,,,,,,,,,
151,Refcon Engineering Services,Screened-Out,Home Appliances,Small Appliances,Major Appliances,"Refrigeration systems, HVAC equipment, cooling solutions, ventilation systems",https://refconengg.com/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company offers commercial appliances
152,Relaxo Home Appliances,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, induction cooktops, electric kettles, small home appliances",https://relaxohomeappliances.com/,Collated Sheet,,,,,,,,,,,,,,,,Skipped - since products are home appliances and not kitchen appliances
153,Reliable Drape,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Curtains & Window Furnishings,"Curtains, blackout curtains, sheers, blinds, curtain fabrics",https://www.reliabledrape.com/,Collated Sheet,25-100 cr,,,,,,,,,,,,,,,25-100 cr. (cant access the website)
154,Repose Mattress,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Mattresses & Bedding,"Mattresses, pillows, mattress protectors, sleep accessories",https://repose.co.in/about-us,Collated Sheet,,,,,,,,,,,,,,,,
155,Restolex,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Mattresses & Bedding,"Foam mattresses, pillows, cushions, mattress toppers",https://restolex.com/,Collated Sheet,,,,,,,,,,,,,,,,
156,RG Home furnishings,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, curtains, comforters, cushion covers, furnishing fabrics","R.G. Home Furnishings, Panipat - Manufacturer of Pillows and Bed Runner",Collated Sheet,,,,,,,,,,,,,,,,Didn’t find the official website
157,Ritu,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, quilts, comforters, pillow covers, curtains, home linen",-,Collated Sheet,,,,,,,,,,,,,,,,Website and scale is quite weak
158,Riviera Home India,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Rugs & Carpets,"Rugs, carpets, cushions, throws, bed linen, home textiles",https://www.rivierahome.in/,Collated Sheet,"Strong B2B, Manufacturing in panipat (home of textiles), organic cotton & eco dyeing, already in business with american companies like pottery barn and RH - they know how to meet the luxury standards",,,,,,,,,,,,,,,"Strong B2B, Manufacturing in panipat (home of textiles), organic cotton & eco dyeing, already in business with american companies like pottery barn and RH - they know how to meet the luxury standards. Know their export game but havent really tapped in the indian market"
